codigo,nome,arquivo,arquivo_origem
COL-1,Emblem,col01_escudo.jpg,colombia__pag_06_fig_01_r1_c1.jpg
COL-2,Camilo Vargas,col02_camilo_vargas.jpg,colombia__pag_06_fig_04_r1_c4.jpg
COL-3,David Ospina,col03_david_ospina.jpg,colombia__pag_06_fig_03_r1_c3.jpg
COL-4,Davinson Sanchez,col04_davinson_sanchez.jpg,colombia__pag_07_fig_03_r1_c3.jpg
COL-5,Yerry Mina,col05_yerry_mina.jpg,colombia__pag_07_fig_01_r1_c1.jpg
COL-6,Daniel Munoz,col06_daniel_munoz.jpg,colombia__pag_06_fig_16_r4_c4.jpg
COL-7,Johan Mojica,col07_johan_mojica.jpg,colombia__pag_07_fig_02_r1_c2.jpg
COL-8,Jhon Lucumi,col08_jhon_lucumi.jpg,colombia__pag_07_fig_04_r1_c4.jpg
COL-9,Santiago Arias,col09_santiago_arias.jpg,colombia__pag_06_fig_15_r4_c3.jpg
COL-10,Jefferson Lerma,col10_jefferson_lerma.jpg,colombia__pag_06_fig_14_r4_c2.jpg
COL-11,Kevin Castano,col11_kevin_castano.jpg,colombia__pag_06_fig_13_r4_c1.jpg
COL-12,Richard Rios,col12_richard_rios.jpg,colombia__pag_06_fig_10_r3_c2.jpg
COL-13,Team Photo,col13_selecao_colombia.jpg,colombia__pag_06_fig_02_r1_c2.jpg
COL-13-variante,Team Photo variant,col13_selecao_colombia_variante.jpg,colombia__pag_07_fig_05_r2_c1.jpg
COL-14,James Rodriguez,col14_james_rodriguez.jpg,colombia__pag_06_fig_12_r3_c4.jpg
COL-15,Juan Fernando Quintero,col15_juan_fernando_quintero.jpg,colombia__pag_06_fig_11_r3_c3.jpg
COL-16,Jorge Carrascal,col16_jorge_carrascal.jpg,colombia__pag_06_fig_09_r3_c1.jpg
COL-17,Jhon Arias,col17_jhon_arias.jpg,colombia__pag_06_fig_07_r2_c3.jpg
COL-18,Jhon Cordoba,col18_jhon_cordoba.jpg,colombia__pag_06_fig_06_r2_c2.jpg
COL-19,Luis Suarez,col19_luis_suarez.jpg,colombia__pag_06_fig_08_r2_c4.jpg
COL-20,Luis Diaz,col20_luis_diaz.jpg,colombia__pag_06_fig_05_r2_c1.jpg
COL-special-1,Jefferson Lerma special,col_especial_01_jefferson_lerma.jpg,colombia__pag_05_especial_06.jpg
